Date,Close,Index
2019-04-23,1872.74,DS30
2019-04-24,1868.13,DS30
2019-04-25,1863.94,DS30
2019-04-28,1855.91,DS30
2019-04-29,1835.74,DS30
2019-04-30,1846.67,DS30
2019-05-02,1870.58,DS30
2019-05-05,1901.66,DS30
2019-05-06,1881.21,DS30
2019-05-07,1861.82,DS30
2019-05-08,1858.04,DS30
2019-05-09,1851.34,DS30
2019-05-12,1846.48,DS30
2019-05-13,1836.39,DS30
2019-05-14,1825.51,DS30
2019-05-15,1812.81,DS30
2019-05-16,1818.2,DS30
2019-05-19,1849.85,DS30
2019-05-20,1833.36,DS30
2019-05-21,1822.78,DS30
2019-05-22,1830.32,DS30
2019-05-23,1832.81,DS30
2019-05-26,1825.37,DS30
2019-05-27,1828.3,DS30
2019-05-28,1861.37,DS30
2019-05-29,1868.26,DS30
2019-05-30,1876.59,DS30
2019-06-09,1889.03,DS30
2019-06-10,1901.67,DS30
2019-06-11,1921.83,DS30
2019-06-12,1917.36,DS30
2019-06-13,1918.73,DS30
2019-06-16,1905.09,DS30
2019-06-17,1889.39,DS30
2019-06-18,1895.1,DS30
2019-06-19,1897.81,DS30
2019-06-20,1894.39,DS30
2019-06-23,1896.72,DS30
2019-06-24,1893.82,DS30
2019-06-25,1896.49,DS30
2019-06-26,1911.55,DS30
2019-06-27,1924.9,DS30
2019-06-30,1929.09,DS30
2019-07-02,1912.57,DS30
2019-07-03,1909.66,DS30
2019-07-04,1910.07,DS30
2019-07-07,1890.38,DS30
2019-07-08,1886.16,DS30
2019-07-09,1875.52,DS30
2019-07-10,1860.9,DS30
2019-07-11,1857.71,DS30
2019-07-14,1853.28,DS30
2019-07-15,1818.52,DS30
2019-07-16,1829.48,DS30
2019-07-17,1830.02,DS30
2019-07-18,1829.57,DS30
2019-07-21,1799.41,DS30
2019-07-22,1776.14,DS30
2019-07-23,1814.62,DS30
2019-07-24,1816.7,DS30
2019-07-25,1836.18,DS30
2019-07-28,1839.54,DS30
2019-07-29,1844.29,DS30
2019-07-30,1826.91,DS30
2019-07-31,1827.9,DS30
2019-08-01,1838.5,DS30
2019-08-04,1836.78,DS30
2019-08-05,1826.68,DS30
2019-08-06,1836.45,DS30
2019-08-07,1836.99,DS30
2019-08-08,1837.75,DS30
2019-08-18,1841.79,DS30
2019-08-19,1847.26,DS30
2019-08-20,1845.54,DS30
2019-08-21,1841.67,DS30
2019-08-22,1850.01,DS30
2019-08-25,1841.76,DS30
2019-08-26,1819.67,DS30
2019-08-27,1829.14,DS30
2019-08-28,1817.71,DS30
2019-08-29,1800.05,DS30
2019-09-01,1791.43,DS30
2019-09-02,1775.0,DS30
2019-09-03,1759.11,DS30
2019-09-04,1748.41,DS30
2019-09-05,1758.2,DS30
2019-09-08,1766.76,DS30
2019-09-09,1758.11,DS30
2019-09-11,1736.18,DS30
2019-09-12,1737.06,DS30
2019-09-15,1738.93,DS30
2019-09-16,1755.74,DS30
2019-09-17,1751.81,DS30
2019-09-18,1735.85,DS30
2019-09-19,1735.93,DS30
2019-09-22,1766.52,DS30
2019-09-23,1789.97,DS30
2019-09-24,1774.11,DS30
2019-09-25,1766.71,DS30
2019-09-26,1768.94,DS30
2019-09-29,1767.98,DS30
2019-09-30,1759.96,DS30
2019-10-01,1759.75,DS30
2019-10-02,1758.5,DS30
2019-10-03,1755.23,DS30
2019-10-06,1747.67,DS30
2019-10-07,1739.48,DS30
2019-10-09,1724.9,DS30
2019-10-10,1704.54,DS30
2019-10-13,1689.16,DS30
2019-10-14,1669.89,DS30
2019-10-15,1704.12,DS30
2019-10-16,1685.46,DS30
2019-10-17,1679.02,DS30
2019-10-20,1685.95,DS30
2019-10-21,1675.49,DS30
2019-10-22,1660.88,DS30
